	Numara	    Proje Puan
1	1722705045	100
2	1622706009	98
3	1412705004	62
4	1622706004	95
5	1612705073	95
6	1612706013	94
7	1722705038	94
8	1222705039	87
9	1722705044	87
10	1712705096	91
11	1622706012	91
12	1722705048	81
13	1422705031	80
14	1722706016	90
15	1112705032	83
16	1722705010	88
17	1612706011	77
18	1722705018	87
19	1722705012	85
20	1622706006	79
21	1712705029	74
22	1712705047	74
23	1722705060	76
24	1612705020	81
